id,class_of_business_group_id,class_of_business,created_at,created_by,updated_at,updated_by,IsPL,IsGL,isBOP,is_active,row
133,8,Jewelry Stores,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,132
134,8,Land Surveyor,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,133
135,1,Landscape Architect,6/12/2018,V9.0.91,9/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,134
136,8,Landscaping/Gardening Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,135
137,8,Lawn Care Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,136
138,8,Employed Lawyers Legal Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,137
139,8,Legal Services - Professional Lawyers,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,138
140,8,Lemonade Cart Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,139
141,8,Life/Career/Executive Coaching,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,140
142,8,Litigation Support,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,141
143,8,Locksmiths,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,142
144,8,Lunch Trailer Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,143
145,8,Lunch Truck Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,144
146,8,Lunch Wagon Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,145
147,3,Management Consulting,6/12/2018,V9.0.91,6/12/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,146
